Address,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
"Ðý?ng Lâm Vãn B?n, Phý?ng Tân Ki?ng, Qu?n 7, H? Chí Minh",110,5,,,,4,4,5,Have certificate,,9.6
"Ðý?ng Lê Thúc Ho?ch, Phý?ng Phú Th? H?a, Tân Phú, H? Chí Minh",30,3.6,,,,2,2,2,Have certificate,Full,3.55
"Phý?ng 4, Qu?n 3, H? Chí Minh",56,,,,,2,2,2,Have certificate,Full,7.6
"D? án Waterpoint, Ðý?ng T?nh l? 824, X? An Th?nh, B?n L?c, Long An",90,6,,Nam,,2,4,3,,,3.2
"D? án Hà N?i Homeland, Phý?ng Thý?ng Thanh, Long Biên, Hà N?i",70,,,,,1,1,1,,Full,3.7
"Ðý?ng Kim Ð?ng, Phý?ng Tân Mai, Hoàng Mai, Hà N?i",50,4,4,,,4,4,3,Have certificate,,7.9
"Ph? L? M?t, Phý?ng Vi?t Hýng, Long Biên, Hà N?i",35,7,2,,,5,4,4,Have certificate,Basic,4.55
"D? án Phýõng Ðông Green Home, Ðý?ng Phan Vãn Ðáng, Phý?ng Ð?c Giang, Long Biên, Hà N?i",80,,,,,,1,2,,,4.5
"X? Kim Chung, Hoài Ð?c, Hà N?i",42,,,,,4,4,4,Have certificate,,5.45
"Ðý?ng Ð?i C?n, Phý?ng Ð?i C?n, Ba Ð?nh, Hà N?i.",36,4,3,,,6,3,5,Have certificate,Full,7.4
"Ðý?ng Tr?n B?nh Tr?ng, Phý?ng 5, B?nh Th?nh, H? Chí Minh",52,,,Ðông - B?c,,4,5,6,,Full,8.4
"X? Yên Sõn, Qu?c Oai, Hà N?i",44.5,,,Ðông - Nam,Ðông - Nam,3,3,3,Have certificate,Basic,2.45
"Ðý?ng G? D?u, Phý?ng Tân Sõn Nh?, Tân Phú, H? Chí Minh",90,,,,,3,3,4,Have certificate,Full,9.99
"Ðý?ng Nguy?n Vãn Lý?ng, Phý?ng 6, G? V?p, H? Chí Minh",64,,,,,4,4,5,,,6.9
"Ðý?ng Vãn Cao, Phý?ng Ð?ng Lâm, H?i An, H?i Ph?ng",90,4.5,,,,5,4,5,Have certificate,,8.6
"Ph? Phó Ð?c Chính, Phý?ng V?nh H?a, Nha Trang, Khánh H?a",92,6.9,11,Ðông,Ðông,3,4,4,Have certificate,,7.8
"Ðý?ng Trý?ng Chinh, Phý?ng 11, Tân B?nh, H? Chí Minh",60,,,,,4,5,4,Have certificate,Full,9.99
"Ðý?ng Tân Thành, Phý?ng Tân Thành, Tân Phú, H? Chí Minh",73,,,,,3,4,4,Have certificate,Basic,8.9
"Ðý?ng Phan Ð?nh Giót, Phý?ng Phýõng Li?t, Thanh Xuân, Hà N?i",40,,,,,5,6,4,Have certificate,,8.5
"Ðý?ng H?ng Bàng, Phý?ng 1, Qu?n 11, H? Chí Minh",50,5.3,,,,3,3,3,Have certificate,Basic,6.8
"Phý?ng Khâm Thiên, Ð?ng Ða, Hà N?i",34,3.3,,,,5,4,5,Have certificate,Full,4.9
"Ðý?ng Th?y Phýõng, Phý?ng Th?y Phýõng, B?c T? Liêm, Hà N?i",38,5.6,,,,5,3,4,Have certificate,Full,5.6
"Ðý?ng S? 44, Phý?ng 14, G? V?p, H? Chí Minh",40,,,,,2,2,2,Have certificate,Basic,3.9
"Ðý?ng Lê Thi?t, Phý?ng Phú Th? H?a, Tân Phú, H? Chí Minh",37,4,12,,,4,3,2,Have certificate,Basic,5.6
"Ðý?ng Ni Sý Hu?nh Liên, Phý?ng 10, Tân B?nh, H? Chí Minh",45,,,,,5,,,Have certificate,,6.6
"Ðý?ng Man Thi?n, Phý?ng Tãng Nhõn Phú A, Qu?n 9, H? Chí Minh",85,5.5,5,Ðông - Nam,Ðông - Nam,1,5,5,Have certificate,Full,5
"Ðý?ng Tr?n Phú, Phý?ng Ðiêòn Biên, Ba Ð?nh, Hà N?i",33,,,,,1,2,1,Have certificate,Full,2.6
"ðý?ng Ðông Ng?c, Phý?ng Ðông Ng?c, B?c T? Liêm, Hà N?i",42.5,5,,,,5,6,6,Have certificate,Full,5.95
"Ðý?ng V?nh Khê, X? An Ð?ng, An Dýõng, H?i Ph?ng",51,4.1,2.5,Tây - Nam,Tây - Nam,3,3,2,Have certificate,Basic,2.27
"Ðý?ng Cách M?ng, Phý?ng Tân Thành, Tân Phú, H? Chí Minh",44,4.7,4,,,2,2,2,Have certificate,Basic,4.9
"Ðý?ng V? Th? Sáu, Phý?ng Ðông H?a, D? An, B?nh Dýõng",131.1,4.5,5,,,4,4,5,Have certificate,Basic,4.45
"Ðý?ng L? Ph?c Man, Phý?ng B?nh Thu?n, Qu?n 7, H? Chí Minh",56,7,8,Ðông,,3,3,3,Have certificate,Full,8.4
"Ðý?ng S? 4, X? B?nh L?c, Long Khánh, Ð?ng Nai",110,5,,Tây - Nam,,,2,1,Have certificate,Full,1.1
"Phý?ng Phý?c B?nh, Qu?n 9, H? Chí Minh",84,4,8,,,1,2,1,Have certificate,Basic,9
"Ðý?ng An phú 18, Phý?ng B?nh Chu?n, Thu?n An, B?nh Dýõng",447,10.7,10,,,,,,Have certificate,,6.3
"Ðý?ng Hoàng Th? Trung, X? An Ð?ng, An Dýõng, H?i Ph?ng",54,,3,Nam,Nam,3,3,3,Have certificate,Basic,2.75
"Ðý?ng Hoàng Vãn H?p, Phý?ng An L?c A, B?nh Tân, H? Chí Minh",101.1,5.1,,,,,,,,,10
"Ðý?ng Chi?n Th?ng, Phý?ng Vãn Quán, Hà Ðông, Hà N?i",32,3,,Ðông - Nam,,4,4,3,Have certificate,Full,6.3
"Ðý?ng Phan Ð?nh Giót, Phý?ng Phýõng Li?t, Thanh Xuân, Hà N?i",42,,,,,5,,,Have certificate,Full,8.5
"Ðý?ng Tr?n Vãn Quang, Phý?ng 10, Tân B?nh, H? Chí Minh",53,,,,,2,2,2,Have certificate,Basic,4.65
"Ðý?ng H?u H?a, X? H?u H?a, Huy?n Thanh Tr?, Hà N?i",39,4,4,,,5,3,3,Have certificate,,3.5
"Ng? Toàn Th?ng, Ph? Khâm Thiên, Phý?ng ThôÒ Quan, Ð?ng Ða, Hà N?i",25.6,,2,,,4,2,3,Have certificate,,5.35
"Ðý?ng Ð?i C?n, Phý?ng Ðôòi Câìn, Ba Ð?nh, Hà N?i",60,5,3,,,4,5,4,Have certificate,Full,9.75
"Ðý?ng Tr?n Th? Nãm, Phý?ng Tân Chánh Hi?p, Qu?n 12, H? Chí Minh",60,,6,Nam,,4,5,5,Have certificate,Basic,5.85
"Ðý?ng V?nh Khê, X? An Ð?ng, An Dýõng, H?i Ph?ng",68,,4,Tây - B?c,Tây - B?c,3,3,4,Have certificate,Basic,3.22
"Ðý?ng S? 8, Phý?ng Tãng Nhõn Phú A, Qu?n 9, H? Chí Minh",75,4.5,8,Tây - Nam,Tây - Nam,1,3,1,Have certificate,Full,6.5
"Ðý?ng Phú Thi?n, X? V?nh Th?nh, Nha Trang, Khánh H?a",79.2,9,5,Ðông - B?c,Ðông - B?c,2,2,2,Have certificate,Basic,2.6
"Ðý?ng An B?nh, X? An Ð?ng, An Dýõng, H?i Ph?ng",125,5,10,Tây - B?c,,3,4,4,Have certificate,Full,5.5
"Ðý?ng 743A, Phý?ng Tân Ðông Hi?p, D? An, B?nh Dýõng",62,4.5,10,,,2,2,2,Have certificate,Basic,3.8
"Ðý?ng 182, Phý?ng Tãng Nhõn Phú A, Qu?n 9, H? Chí Minh",77,4,8,Tây - Nam,Tây - Nam,4,4,4,Have certificate,,6.5
"Ðý?ng Lê Th? Kim, X? Xuân Th?i Ðông, Hóc Môn, H? Chí Minh",85,5,,,,1,5,5,Have certificate,,2.55
"Ðý?ng Nguy?n Vãn Kh?i, Phý?ng 11, G? V?p, H? Chí Minh",56.7,4,4,,,4,5,5,Have certificate,Full,5.85
"S? 785, Ðý?ng Phúc Di?n, Phý?ng Xuân Phýõng, Nam T? Liêm, Hà N?i",60,4.2,7,,,,,,Sale contract,,5.3
"Ðý?ng Tr?n Hýng Ð?o, Phý?ng Ph?m Ng? L?o, Qu?n 1, H? Chí Minh",34,4.6,4,,,4,7,3,Have certificate,,7.5
"Ðý?ng Bác Ái, Phý?ng Tân Thành, Tân Phú, H? Chí Minh",72.4,4.1,12,Ðông - B?c,Ðông - B?c,2,4,3,Have certificate,,8.9
"Phý?ng Minh Khai, Hai Bà Trýng, Hà N?i",26,3,3,,,4,3,4,Have certificate,Full,4.6
"Ðý?ng Tân H?a Ðông, Phý?ng 14, Qu?n 6, H? Chí Minh",16,,,Ðông - B?c,,2,1,1,Have certificate,,2.2
"Ðý?ng Lô Tý, Phý?ng B?nh Hýng H?a A, B?nh Tân, H? Chí Minh",67,4.23,12,B?c,B?c,3,3,3,Have certificate,,7.45
"Ðý?ng S? 21A, Phý?ng B?nh Tr? Ðông B, B?nh Tân, H? Chí Minh",90,4,8,B?c,B?c,3,4,5,Have certificate,Full,9.2
"H?m 108, Ðý?ng Nguy?n H?u C?nh, Phý?ng 22, B?nh Th?nh, H? Chí Minh",24,,,,,2,2,2,Have certificate,,2.95
"D? án Haruka Terrace & Haruka Residence, Ðý?ng V? Nguyên Giáp, Phý?ng H?a Phú, Th? D?u M?t, B?nh Dýõng",114,,,,,,,,,,9.76
"Ðý?ng V? Vãn Ki?t, Phý?ng Cô Giang, Qu?n 1, H? Chí Minh",10,,3,,,2,1,1,Have certificate,,1.3
"Ðý?ng S? 34, Phý?ng Linh Ðông, Th? Ð?c, H? Chí Minh",60,14,,,,2,2,2,,,2.9
"Ðý?ng Bành Vãn Trân, Phý?ng 7, Tân B?nh, H? Chí Minh",27,3,3,Ðông - Nam,Ðông - Nam,2,2,2,Have certificate,Full,4.15
"Ðý?ng Nguy?n Duy Cung, Phý?ng 12, G? V?p, H? Chí Minh",36,,3,Tây,Tây - Nam,2,3,3,Have certificate,Full,4.97
"Ðý?ng Tân Hýõng, Phý?ng Tân Qu?, Tân Phú, H? Chí Minh",32,4,2,Ðông,,3,2,3,Have certificate,,4.75
"Ðý?ng  Nguy?n Xí, Phý?ng 13, B?nh Th?nh, H? Chí Minh",60,,6,,,4,3,6,Have certificate,Full,7.9
"Ðý?ng G? Xoài, Phý?ng B?nh Hýng H?a A, B?nh Tân, H? Chí Minh",107,6.4,5,Nam,,3,6,3,Have certificate,,7.8
"Ðý?ng Th?nh Xuân 52, Phý?ng Th?nh Xuân, Qu?n 12, H? Chí Minh",80,5,7,Ðông - Nam,,,2,1,Have certificate,,3.3
"D? án NovaWorld Phan Thi?t, Ðý?ng L?c Long Quân, X? Ti?n Thành, Phan Thi?t, B?nh Thu?n",120,,20,,,2,4,3,,Full,6.9
"Ðý?ng Bùi Vãn Ng?, Phý?ng Tân Chánh Hi?p, Qu?n 12, H? Chí Minh",50,4.5,4.5,,,2,3,2,Have certificate,Full,2.6
"H?m 29, Ðý?ng Lê Ð?c Th?, Phý?ng 7, G? V?p, H? Chí Minh",60,,,,,3,4,3,,,6.8
"Ðý?ng Nguy?n Sõn, Phý?ng Gia Th?y, Long Biên, Hà N?i",53,4.4,,,,3,3,3,Have certificate,Basic,9.35
"Ðý?ng Thành Thái, Phý?ng 14, Qu?n 10, H? Chí Minh",44,,,Ðông - Nam,Ðông - Nam,3,4,5,Have certificate,Full,9.9
"Ðý?ng Giáp Nh?, Phý?ng Th?nh Li?t, Hoàng Mai, Hà N?i",85,,,,,,,,Have certificate,,3.1
"Ðý?ng Kim Ngýu, Phý?ng Thanh NhaÌn, Hai Bà Trýng, Hà N?i",34,,,,,5,4,4,Have certificate,Full,6.15
"Ðý?ng Ð?n L?, Phý?ng Hoàng Vãn Th?, Hoàng Mai, Hà N?i",42,3.6,8,,,5,6,3,Have certificate,,8.1
"Ðý?ng Xuân Ð?nh, Phý?ng Xuân Ð?nh, B?c T? Liêm, Hà N?i",45,,,,,5,4,4,Have certificate,,5.45
"Ðý?ng Lê Ð?c Th?, Phý?ng 17, G? V?p, H? Chí Minh",57,,3,,,1,3,2,,,3.9
"ðý?ng M? Ð?nh, Phý?ng M? Ð?nh 2, Nam T? Liêm, Hà N?i",35,4,3,,,5,3,4,Have certificate,Full,5.5
"Ðý?ng Phan Ð?nh Phùng, Phý?ng Quaìn Thaình, Ba Ð?nh, Hà N?i",33,3.3,,,,4,4,,Have certificate,,7.3
"Ðý?ng Nguy?n Khánh Toàn, Phý?ng Quan Hoa, C?u Gi?y, Hà N?i",44,,,,,,6,,Have certificate,,6.55
"H?m S? 1, Ðý?ng Cách M?ng Tháng Tám, Phý?ng 7, Tân B?nh, H? Chí Minh",120,6,6,,,1,3,2,Have certificate,,9.5
"Ðý?ng Tân ?p, Phý?ng Phuìc Xaì, Ba Ð?nh, Hà N?i",41,4,6,,,5,3,4,Have certificate,Basic,10
"Ðý?ng Quán Gánh, X? Nh? Khê, Thý?ng Tín, Hà N?i",40,,,,,4,,,,,2.95
"Ng? 63, Ðý?ng Tr?n Qu?c Vý?ng, Phý?ng D?ch V?ng H?u, C?u Gi?y, Hà N?i",58,,,,,4,4,,Have certificate,,6.8
"Ðý?ng Bùi Minh Tr?c, Phý?ng 5, Qu?n 8, H? Chí Minh",60,4,3.5,,,2,4,3,Have certificate,Basic,5.58
"Ph? Lê Thanh Ngh?, Phý?ng Baìch Khoa, Hai Bà Trýng, Hà N?i",55,3,,,,5,6,4,Have certificate,,8.5
"Ph? H?ng Ti?n, Phý?ng B? Ð?, Long Biên, Hà N?i",68,,,,,4,,,Have certificate,Full,9.9
"Ðý?ng S? 43, Phý?ng B?nh Thu?n, Qu?n 7, H? Chí Minh",80,4,10,,,2,2,2,Have certificate,,9.9
"117, Ðý?ng Nguy?n H?u C?nh, Phý?ng 22, B?nh Th?nh, H? Chí Minh",21,,,,,2,2,1,Have certificate,Basic,2.55
"D? án The Ocean Villas Quy Nhõn, Ðý?ng Qu?c L? 19B, X? Cát Ti?n, Phù Cát, B?nh Ð?nh",240,10,10,Tây - Nam,Ðông - Nam,2,3,3,Have certificate,Basic,7.8
"Ðý?ng Dýõng Trí Tr?ch, Phý?ng  An H?i B?c, Sõn Trà, Ðà N?ng",75,5,5.5,,,2,3,3,Have certificate,,6.8
"Ðý?ng Nguy?n Ð?c Thu?n, X? Ð?ng Xá, Gia Lâm, Hà N?i",110,4.5,20,,,5,,,Have certificate,,8.5
"Ðý?ng Trýõng Ð?nh, Phý?ng Th?nh Li?t, Hoàng Mai, Hà N?i",36,,4,,,,,,Have certificate,Full,6
"Ðý?ng Nguy?n Vãn C?, Phý?ng B? Ð?, Long Biên, Hà N?i",78,,,,,5,,,Have certificate,Full,9.5
"Ðý?ng Tây Sõn, Phý?ng Trung Liêòt, Ð?ng Ða, Hà N?i",50,4,4,Ðông - Nam,,4,5,5,Have certificate,Full,8.7
"Green River qu?n 8, 2225, Ðý?ng Ph?m Th? Hi?n, Phý?ng 6, Qu?n 8, H? Chí Minh",151,7.5,12,Ðông - Nam,Ðông - Nam,2,2,3,Have certificate,Basic,5.2
"Ðý?ng Lê Vãn Tách, Phý?ng Týõng B?nh Hi?p, Th? D?u M?t, B?nh Dýõng",129,,,,,2,,,Have certificate,Full,2.5
"H?m 21 Ðý?ng Vý?n Lài, Phý?ng Tân Thành, Tân Phú, H? Chí Minh",34,,5,,,3,3,3,Have certificate,,4.65
"120, Ðý?ng Lê Thi?t, Phý?ng Phú Th? H?a, Tân Phú, H? Chí Minh",36,4,,,,4,3,3,Have certificate,,5.6
"Phý?ng H?a H?i, Ng? Hành Sõn, Ðà N?ng",90,5,7.5,B?c,B?c,2,3,2,Have certificate,,4.1
"Ðý?ng H? Tùng M?u, Phý?ng D?ch V?ng, C?u Gi?y, Hà N?i",52,4.6,5,,,4,6,4,Have certificate,,8.6
"83/78/6A, Ðý?ng Nãm Châu, Phý?ng 12, Tân B?nh, H? Chí Minh",56,4.25,,,,2,,,,,5.4
"449/23/2, Ðý?ng Trý?ng Chinh, Phý?ng 14, Tân B?nh, H? Chí Minh",64,,,,,1,1,1,Have certificate,,7.9
"H?m 23 Ðý?ng Nguy?n H?u Ti?n, Phý?ng Tây Th?nh, Tân Phú, H? Chí Minh",98,,,,,,,,,,6.2
"S? 83/78/6A, Ðý?ng Nãm Châu, Phý?ng 11, Tân B?nh, H? Chí Minh",110,8.1,,,,2,3,3,Have certificate,Full,10
"449/23/2, Ðý?ng Trý?ng Chinh, Phý?ng 14, Tân B?nh, H? Chí Minh",64,4.65,,,,,,,,,7.9
"Ðý?ng Lê Tr?ng T?n, Phý?ng Khýõng Mai, Thanh Xuân, Hà N?i",46,4,,,,4,4,,Have certificate,Full,9.5
"Ðý?ng Phan Tây H?, Phý?ng 7, Phú Nhu?n, H? Chí Minh",69,,,,,3,4,3,Have certificate,,5.9
"Ph? Kim M? Thý?ng, Phý?ng LiêÞu Giai, Ba Ð?nh, Hà N?i",36,4,3,,,5,3,5,Have certificate,Full,7.4
"X? Th?y Hýõng, Chýõng M?, Hà N?i.",31.4,3.1,5,,,3,3,2,Have certificate,,2.1
"Ph? Do?n K? Thi?n, Phý?ng Mai D?ch, C?u Gi?y, Hà N?i",48,3.5,3,Tây - Nam,,5,6,5,Have certificate,Full,8.95
"D? án Lavila Ki?n Á - Nhà Bè, Ðý?ng Nguy?n H?u Th?, X? Phý?c Ki?n, Nhà Bè, H? Chí Minh",105.6,,,,,3,4,4,Have certificate,,10
"Ðý?ng Lê Sao, Phý?ng Phú Th?nh, Tân Phú, H? Chí Minh",37,4,12,,,4,3,3,Have certificate,Basic,5.6
"ðý?ng M? Ð?nh, Phý?ng M? Ð?nh 1, Nam T? Liêm, Hà N?i",50,4,,,,5,,,Have certificate,Full,9.5
"Ph? Ðà N?ng, Phý?ng Ðông H?i 1, H?i An, H?i Ph?ng",71,,12,,,4,4,3,Have certificate,,5.95
"D? án Andochine Resort, Ðý?ng Tr?n Hýng Ð?o, X? Dýõng Tõ, Phú Qu?c, Kiên Giang",100,,,,,,,,Have certificate,Basic,4.8
"Ðý?ng Lê Tr?ng T?n, Phý?ng Tây Th?nh, Tân Phú, H? Chí Minh",68,,8,,,3,4,4,Have certificate,Basic,6.5
"D? án Vinpearl Phú Qu?c, X? Gành D?u, Phú Qu?c, Kiên Giang",470,,,,,1,3,,Sale contract,Full,9.5
"Ðý?ng Âu Dýõng Lân, Phý?ng 3, Qu?n 8, H? Chí Minh",55,4.2,5,,,2,2,2,Have certificate,Full,5.6
"Ðý?ng Th?nh Xuân 22, Phý?ng Th?nh Xuân, Qu?n 12, H? Chí Minh",64,4,,Ðông - B?c,,1,,,,,1.45
"Ðý?ng Hoàng Hoa Thám, Phý?ng Ðôòi Câìn, Ba Ð?nh, Hà N?i",38,4,3,,,6,3,5,Have certificate,Full,8.08
"Ðý?ng Lê Lai, Phý?ng 11, Tân B?nh, H? Chí Minh",80,5.2,,,,4,5,6,,,7.7
"Ðý?ng Lê H?ng Phong, Phý?ng Kim MaÞ, Ba Ð?nh, Hà N?i",42,5,3,,,5,3,4,Have certificate,Full,7.5
"Ðý?ng Th?nh Xuân 38, Phý?ng Th?nh Xuân, Qu?n 12, H? Chí Minh",50,,,,,3,5,4,Have certificate,,4.31
"Ph? K? T?nh, Phý?ng Giang Biên, Long Biên, Hà N?i",49,4.5,,Ðông - Nam,Ðông - Nam,6,4,4,,,8.15
"Ðý?ng Th?nh M? L?i, Phý?ng  Th?nh M? L?i, Qu?n 2, H? Chí Minh",82,5.5,,,,5,4,5,Have certificate,Full,9.5
"Ðý?ng H?u Ái, X? Vân Canh, Hoài Ð?c, Hà N?i",36,4,4,Nam,Nam,5,3,3,Have certificate,Full,3.8
"Ðý?ng Nguy?n Du, Phý?ng B?nh H?a, Thu?n An, B?nh Dýõng",101.3,5,22,,,,5,5,Have certificate,Basic,6
"46, Ðý?ng 46, Phý?ng 10, Qu?n 6, H? Chí Minh",64,4,,,,3,6,5,Have certificate,,9.3
"Ðý?ng L?c Long Quân, Phý?ng Bý?i, Tây H?, Hà N?i",28,3,,,,4,5,4,Have certificate,Full,5.25
"1/, Ðý?ng S? 5, Phý?ng B?nh Hýng H?a, B?nh Tân, H? Chí Minh",56,,6,,,2,4,4,,,5.7
"Ðý?ng Tr?n Hýng Ð?o, Phý?ng Ðông H?a, D? An, B?nh Dýõng",112.5,5,,,,,,,Have certificate,,7.6
"D? án The Ocean Villas Quy Nhõn, Ðý?ng Qu?c L? 19B, X? Cát Ti?n, Phù Cát, B?nh Ð?nh",240,15,10,Ðông - B?c,,2,2,3,Have certificate,Basic,7.8
"D? án The Sol Residence, Ðý?ng Th?nh Xuân 38, Phý?ng Th?nh Xuân, Qu?n 12, H? Chí Minh",86,,,Ðông - B?c,B?c,3,4,3,Have certificate,,4.5
"Ðý?ng Ð?i T?, Phý?ng Ð?i Kim, Hoàng Mai, Hà N?i",35,,,B?c,Nam,4,4,3,Have certificate,,5
"Ðý?ng Hu?nh Th? Hai, Phý?ng Tân Chánh Hi?p, Qu?n 12, H? Chí Minh",56,4,13,B?c,,2,2,2,Have certificate,Full,5.49
"ðý?ng Ðông Ng?c, Phý?ng Ðông Ng?c, B?c T? Liêm, Hà N?i",61,4,3,,,4,4,4,Have certificate,Basic,7.6
"Ðý?ng Th?nh Xuân 22, Phý?ng Th?nh Xuân, Qu?n 12, H? Chí Minh",40,,5,,,,2,2,,,1.35
"Ph? Thái Hà, Phý?ng Trung Liêòt, Ð?ng Ða, Hà N?i",40,,,,,5,4,4,Have certificate,,7.9
"Ðý?ng Ngô Gia T?, Phý?ng Ð?c Giang, Long Biên, Hà N?i",58,4,4,,,4,3,4,Have certificate,Basic,6.8
"D? án Flamingo Resort, X? Ng?c Thanh, Phúc Yên, V?nh Phúc",323,14,20,Ðông - Nam,,1,3,4,Have certificate,Full,10
"Ðý?ng Tân H?a Ðông, Phý?ng B?nh Tr? Ðông, B?nh Tân, H? Chí Minh",80,51,3,Tây,Tây,2,3,2,Have certificate,Full,4.58
"Ðý?ng Tô K?, Phý?ng Ðông Hýng Thu?n, Qu?n 12, H? Chí Minh",100,5,5,,,2,3,3,Have certificate,Full,5.5
"Ðý?ng Lê Ð?i Hành, Phý?ng 11, Qu?n 11, H? Chí Minh",21,5,8,Ðông - Nam,Ðông - Nam,2,2,2,Have certificate,Basic,3.8
"Ðý?ng Ái M?, Phý?ng B? Ð?, Long Biên, Hà N?i",41,,,,,5,3,4,Have certificate,Full,5.78
"Ðý?ng Dân Ch?, Phý?ng B?nh Th?, Th? Ð?c, H? Chí Minh",87,4.3,7,,,4,5,5,Have certificate,,9.5
"Phý?ng Ng?c Th?y, Long Biên, Hà N?i",30,4,,,,5,3,,,,4.29
"Ðý?ng Kim Giang, Phý?ng Ð?i Kim, Hoàng Mai, Hà N?i",36,4,3,,,4,3,4,Have certificate,Full,4.8
"Phý?ng Ng?c Th?y, Long Biên, Hà N?i",51,5.1,,,,1,1,1,Have certificate,,7.5
"Ðý?ng Cách M?ng Tháng Tám, Phý?ng Quy?t Th?ng, Biên H?a, Ð?ng Nai",69,5.6,2,Ðông - Nam,Ðông - Nam,2,3,2,Have certificate,,2.3
"Phý?ng Ng?c Th?y, Long Biên, Hà N?i",58,,,,,5,4,5,Have certificate,,8.2
"Phý?ng Tân Mai, Hoàng Mai, Hà N?i",34,4,5,,,5,3,4,Have certificate,Full,6
"D? án The Empire - Vinhomes Ocean Park 2, X? Long Hýng, Vãn Giang, Hýng Yên",96,,,,,5,,,,,9.4
"Ph? Tr?n Cung, Phý?ng C? Nhu? 1, B?c T? Liêm, Hà N?i",43,4.68,3,,,6,3,4,Have certificate,Basic,7.94
"Ðý?ng Nguy?n Vãn Hoa, Phý?ng Th?ng Nh?t, Biên H?a, Ð?ng Nai",86,5,6,Tây - Nam,,2,3,2,,,4.8
"Ðý?ng Nguy?n An Ninh, Phý?ng Trýõng Ð?nh, Hai Bà Trýng, Hà N?i",40,4.8,5,,,6,,,Have certificate,Full,7.3
"Ðý?ng Hýng Ð?o Výõng, Phý?ng Trung D?ng, Biên H?a, Ð?ng Nai",53,8,12,Nam,,2,4,4,,,7.2
"Ðý?ng Man Thi?n, Phý?ng Tãng Nhõn Phú A, Th? Ð?c, H? Chí Minh",38.1,4,4,,,1,2,1,Have certificate,,3.6
"Ðý?ng Dýõng Lâm, Phý?ng Vãn Quán, Hà Ðông, Hà N?i",32,3.6,,,,5,4,4,Have certificate,Full,6.6
"Ðý?ng Tr?i L?, Phý?ng  Kênh Dýõng, Lê Chân, H?i Ph?ng",51,,,,,4,3,4,Have certificate,Full,6.55
"D? án The Crown - Vinhomes Ocean Park 3, X? Ngh?a Tr?, Vãn Giang, Hýng Yên",60,,,,,4,,,,,6.9
"Ðý?ng Thiên Hi?n, Phý?ng M? Ð?nh 1, Nam T? Liêm, Hà N?i",30,,,,,6,3,4,Have certificate,Full,6
"Ðý?ng Phú Thu?n, Phý?ng Phú Thu?n, Qu?n 7, H? Chí Minh",96,6,5,,,4,8,6,Have certificate,,8
"Ðý?ng Tr?n Phú, Phý?ng M? Lao, Hà Ðông, Hà N?i",40,5.5,,,,6,5,4,Have certificate,Full,8.85
"Ph? Vãn H?i, Phý?ng Ð?c Th?ng, B?c T? Liêm, Hà N?i",42,6,3,,,4,4,3,Have certificate,Full,5.4
"Ðý?ng Xuân Ð?nh, Phý?ng Xuân Ð?nh, B?c T? Liêm, Hà N?i",45,,,,,5,3,4,Have certificate,,6.45
"Ðý?ng Cý Xá V?nh H?i, Phý?ng 6, Qu?n 4, H? Chí Minh",44,7,6,Tây - Nam,,,1,1,Have certificate,,5.4
"Ðý?ng Lê Vãn Hi?n, Phý?ng Ð?c Th?ng, B?c T? Liêm, Hà N?i",50,6,4,,,5,9,9,Have certificate,Full,7.2
"Ph? V? H?u, Phý?ng H?a Thu?n Tây, H?i Châu, Ðà N?ng.",95,,7.5,,,3,3,3,Have certificate,,8.5
"D? án KÐTM l?n bi?n Tây B?c TP. R?ch Giá, Ðý?ng S? 5, Phý?ng V?nh Thanh, R?ch Giá, Kiên Giang",126,,,,,,4,4,Have certificate,,6
"Ðý?ng Ð?n L? 2, Phý?ng Tân Mai, Hoàng Mai, Hà N?i",35,,,,,5,3,3,Have certificate,Basic,4.5
"Ðý?ng Tô Ng?c Vân, Phý?ng Th?nh Xuân, Qu?n 12, H? Chí Minh",50,4,12,Tây - Nam,Tây - Nam,4,5,3,Have certificate,,5.8
"D? án KÐTM l?n bi?n Tây B?c TP. R?ch Giá, R?ch Giá, Kiên Giang",110,,,,,,,,Have certificate,,2.85
"D? án Flamingo Golden Hill, Ðý?ng Qu?c l? 21A(Qu?c l? 21), Th? tr?n Ba Sao, Kim B?ng, Hà Nam",105,7,15,Nam,Nam,4,5,6,Have certificate,,6.18
"Ðý?ng Thiên H? Dýõng, Phý?ng 1, G? V?p, H? Chí Minh",60.6,,,,,3,,,,,6.1
"Phý?ng Ki?n Hýng, Hà Ðông, Hà N?i",40,,,Nam,,5,,,Have certificate,,7.9
"Ph? Do?n K? Thi?n, Phý?ng Mai D?ch, C?u Gi?y, Hà N?i",44,,,,,5,6,5,,,8.9
"D? án Meyhomes Capital, Ðý?ng 975, Phý?ng An Th?i, Phú Qu?c, Kiên Giang",117,6.5,12,Ðông - Nam,Ðông - Nam,4,4,5,Have certificate,Basic,6.9
"H?m 141, Ðý?ng Tám Danh, Phý?ng 4, Qu?n 8, H? Chí Minh",91.8,4,,,,2,2,1,Have certificate,,3.95
"Ðý?ng Nguy?n Th? Minh Khai, Phý?ng Tân An, Ninh Ki?u, C?n Thõ",50,7,3,Tây - Nam,,,1,1,Have certificate,Basic,2.08
